time,count
12:44:04,90
12:44:05,105
12:44:06,104
12:44:07,91
12:44:08,102
12:44:09,108
12:44:10,94
12:44:11,95
12:44:12,98
12:44:13,96
12:44:14,130
12:44:15,108
12:44:16,111
12:44:17,77
12:44:18,113
12:44:19,94
12:44:20,89
12:44:21,110
12:44:22,107
12:44:23,100
12:44:24,93
12:44:25,104
12:44:26,114
12:44:27,96
12:44:28,99
12:44:29,103
12:44:30,100
12:44:31,90
12:44:32,98
12:44:33,112
12:44:34,101
12:44:35,95
12:44:36,107
12:44:37,88
12:44:38,90
12:44:39,99
12:44:40,100
12:44:41,89
12:44:42,122
12:44:43,106
12:44:44,84
12:44:45,86
12:44:46,119
12:44:47,105
12:44:48,84
12:44:49,98
12:44:50,107
12:44:51,109
12:44:52,106
12:44:53,96
12:44:54,85
12:44:55,93
12:44:56,100
12:44:57,113
12:44:58,106
12:44:59,79
12:45:00,107
12:45:01,100
12:45:02,136
12:45:03,89
12:45:04,105
12:45:05,113
12:45:06,95
12:45:07,105
12:45:08,107
12:45:09,103
12:45:10,98
12:45:11,101
12:45:12,93
12:45:13,92
12:45:14,107
12:45:15,96
12:45:16,101
12:45:17,95
12:45:18,100
12:45:19,116
12:45:20,115
12:45:21,95
12:45:22,94
12:45:23,96
12:45:24,90
12:45:25,88
12:45:26,24
12:46:23,8
12:46:24,101
12:46:25,116
12:46:26,95
12:46:27,110
12:46:28,96
12:46:29,95
12:46:30,104
12:46:31,102
12:46:32,99
12:46:33,108
12:46:34,97
12:46:35,93
12:46:36,96
12:46:37,105
12:46:38,97
12:46:39,82
12:46:40,104
12:46:41,105
12:46:42,93
12:46:43,117
12:46:44,99
12:46:45,88
12:46:46,99
12:46:47,94
12:46:48,110
12:46:49,90
12:46:50,99
12:46:51,103
12:46:52,96
12:46:53,88
12:46:54,92
12:46:55,109
12:46:56,99
12:46:57,99
12:46:58,107
12:46:59,91
12:47:00,97
12:47:01,90
12:47:02,97
12:47:03,101
12:47:04,120
12:47:05,93
12:47:06,114
12:47:07,90
12:47:08,118
12:47:09,114
12:47:10,95
12:47:11,96
12:47:12,102
12:47:13,84
12:47:14,110
12:47:15,89
12:47:16,100
12:47:17,77
12:47:18,91
12:47:19,85
12:47:20,104
12:47:21,101
12:47:22,102
12:47:23,102
12:47:24,89
12:47:25,104
12:47:26,98
12:47:27,92
12:47:28,89
12:47:29,103
12:47:30,84
12:47:31,91
12:47:32,103
12:47:33,95
12:47:34,86
12:47:35,108
12:47:36,93
12:47:37,105
12:47:38,94
12:47:39,90
12:47:40,99
12:47:41,101
12:47:42,88
12:47:43,94
12:47:44,100
12:47:45,98
12:47:46,96
12:47:47,86
12:47:48,111
12:47:49,111
12:47:50,102
12:47:51,108
12:47:52,91
12:47:53,102
12:47:54,110
12:47:55,93
12:47:56,98
12:47:57,96
12:47:58,88
12:47:59,100
12:48:00,114
12:48:01,118
12:48:02,106
12:48:03,72
12:48:04,82
12:48:05,110
12:48:06,92
12:48:07,103
12:48:08,112
12:48:09,94
12:48:10,94
12:48:11,92
12:48:12,93
12:48:13,101
12:48:14,90
12:48:15,94
12:48:16,103
12:48:17,94
12:48:18,100
12:48:19,75
12:48:20,101
12:48:21,105
12:48:22,118
12:48:23,96
12:48:24,91
12:48:25,83
12:48:26,105
12:48:27,93
12:48:28,91
12:48:29,100
12:48:30,110
12:48:31,97
12:48:32,105
12:48:33,74
12:48:34,113
12:48:35,98
12:48:36,84
12:48:37,98
12:48:38,109
12:48:39,96
12:48:40,97
12:48:41,81
12:48:42,116
12:48:43,94
12:48:44,86
12:48:45,81
12:48:46,99
12:48:47,71
12:48:48,103
12:48:49,115
12:48:50,112
12:48:51,98
12:48:52,94
12:48:53,89
12:48:54,98
12:48:55,89
12:48:56,102
12:48:57,87
12:48:58,108
12:48:59,103
12:49:00,102
